City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,talcahuano,-36.7167,-73.1167,7.82,81,75,3.6,CL,1724281339
292,aberdeen,57.1437,-2.0981,15.21,83,75,9.26,GB,1724281408
293,karungdong,5.8844,121.263,27.13,82,98,0.21,PH,1724281409
294,ma'an,26.9775,110.7211,24.61,90,2,2.24,CN,1724281410
295,olonkinbyen,70.9221,-8.7187,4.27,91,100,3.25,SJ,1724280821
296,nogliki,51.8333,143.1667,19.5,72,100,5.7,RU,1724281412
297,lesparre-medoc,45.3,-0.9333,14.25,83,12,2.04,FR,1724281413
298,gosaba,22.165,88.7998,27.3,87,98,5.25,IN,1724281415
299,griffith,41.5284,-87.4237,21.42,50,0,4.12,US,1724281416
300,port douglas,-16.4833,145.4667,23.02,65,95,6.33,AU,1724281417
301,turpan,42.9333,89.1667,28.71,41,63,1.59,CN,1724281418
302,bata,1.8639,9.7658,25.92,83,40,3.09,GQ,1724281419
303,orhangazi,40.4892,29.3089,20.84,83,9,1.5,TR,1724281420
304,strezhevoy,60.7333,77.5889,11.11,94,49,2.54,RU,1724281421
305,kourou,5.1552,-52.6478,26.29,86,17,3.8,GF,1724281054
306,tadine,-21.55,167.8833,22.3,57,76,6.18,NC,1724281423
307,bykovo,55.6361,38.0803,12.85,82,0,2.0,RU,1724281425
308,fabens,31.5023,-106.1586,37.55,14,11,6.13,US,1724281426
309,luganville,-15.5333,167.1667,26.52,76,24,6.6,VU,1724281427
310,puerto armuelles,8.2833,-82.8667,26.72,83,99,1.34,PA,1724281428
311,okha,53.5739,142.9478,19.8,75,85,2.81,RU,1724281429
312,thinadhoo,0.5333,72.9333,27.97,74,100,3.17,MV,1724281430
313,williams lake,52.1415,-122.1445,20.03,65,100,2.57,CA,1724281431
314,myrina,39.8797,25.0742,24.58,78,0,1.54,GR,1724281432
315,alotau,-10.3069,150.4462,26.46,86,66,2.47,PG,1724281434
316,yuzhno-kurilsk,44.0306,145.8556,18.83,84,100,5.57,RU,1724281435
317,warwick,41.7001,-71.4162,20.47,63,20,5.14,US,1724281434
318,la plata,-34.9215,-57.9545,11.66,98,100,3.1,AR,1724281385
319,caucete,-31.6518,-68.2811,7.87,55,94,4.22,AR,1724281438
320,nandura buzurg,20.8333,76.45,27.21,78,100,1.32,IN,1724281439
321,znamenskoye,57.1281,73.8282,11.37,94,8,0.8,RU,1724281440
322,itamaraca,-7.7478,-34.8256,24.06,89,16,4.97,BR,1724281245
323,qoryooley,1.7878,44.53,23.73,80,80,6.68,SO,1724281443
